	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	25.	25.	25.	
2	1.01	25.	25.	25.	
3	1.02	25.	25.	25.	
4	1.0316	25.	25.	25.	
5	1.0432	25.	25.	25.	
6	1.0489	25.	25.	25.	
7	1.0547	25.	25.	25.	
8	1.0671	25.	25.	25.	
9	1.0917	25.	25.	25.	
10	1.1164	25.	25.	25.	
11	1.1411	25.	25.	25.	
12	1.1904	25.	25.	25.	
13	1.2397	25.	25.	25.	
14	1.289	25.	25.	25.	
15	1.3877	25.	25.	25.	
16	1.4877	25.	25.	25.	
17	1.5877	25.	25.	25.	
18	1.6877	25.	25.	25.	
19	1.7877	25.	25.	25.	
20	1.8877	25.	25.	25.	
21	1.9438	25.	25.	25.	
22	2.	25.	25.	25.	
23	2.01	25.	25.	25.	
24	2.02	25.	25.	25.	
25	2.05	25.	25.	25.	
26	2.11	25.	25.	25.	
27	2.17	25.	25.	25.	
28	2.195	25.	25.	25.	
29	2.22	25.	25.	25.	
30	2.2325	25.	25.	25.	
31	2.245	25.	25.	25.	
32	2.2575	25.	25.	25.	
33	2.295	25.	25.	25.	
34	2.37	25.	25.	25.	
35	2.445	25.	25.	25.	
36	2.545	25.	25.	25.	
37	2.645	25.	25.	25.	
38	2.745	25.	25.	25.	
39	2.845	25.	25.	25.	
40	2.945	25.	25.	25.	
41	3.	25.	25.	25.	
42	3.01	25.	25.	25.	
43	3.02	25.	25.	25.	
44	3.025	25.	25.	25.	
45	3.03	25.	25.	25.	
46	3.045	25.	25.	25.	
47	3.09	25.	25.	25.	
48	3.135	25.	25.	25.	
49	3.235	25.	25.	25.	
50	3.335	25.	25.	25.	
51	3.435	25.	25.	25.	
52	3.535	25.	25.	25.	
53	3.635	25.	25.	25.	
54	3.735	25.	25.	25.	
55	3.835	25.	25.	25.	
56	3.935	25.	25.	25.	
57	4.	25.	25.	25.	
58	4.01	25.	25.	25.	
59	4.02	25.	25.	25.	
60	4.05	25.	25.	25.	
61	4.14	25.	25.	25.	
62	4.24	25.	25.	25.	
63	4.29	25.	25.	25.	
64	4.34	25.	25.	25.	
65	4.39	25.	25.	25.	
66	4.49	25.	25.	25.	
67	4.59	25.	25.	25.	
68	4.69	25.	25.	25.	
69	4.79	25.	25.	25.	
70	4.89	25.	25.	25.	
71	4.945	25.	25.	25.	
72	5.	25.	25.	25.	
73	5.01	25.	25.	25.	
74	5.02	25.	25.	25.	
75	5.03	25.	25.	25.	
76	5.06	25.	25.	25.	
77	5.15	25.	25.	25.	
78	5.25	25.	25.	25.	
79	5.35	25.	25.	25.	
80	5.45	25.	25.	25.	
81	5.55	25.	25.	25.	
82	5.65	25.	25.	25.	
83	5.75	25.	25.	25.	
84	5.85	25.	25.	25.	
85	5.95	25.	25.	25.	
86	6.	25.	25.	25.	
87	6.01	25.	25.	25.	
88	6.02	25.	25.	25.	
89	6.05	25.	25.	25.	
90	6.14	25.	25.	25.	
91	6.23	25.	25.	25.	
92	6.33	25.	25.	25.	
93	6.43	25.	25.	25.	
94	6.53	25.	25.	25.	
95	6.63	25.	25.	25.	
96	6.73	25.	25.	25.	
97	6.83	25.	25.	25.	
98	6.93	25.	25.	25.	
99	7.	25.	25.	25.	
100	7.01	25.	25.	25.	
101	7.02	25.	25.	25.	
102	7.05	25.	25.	25.	
103	7.08	25.	25.	25.	
104	7.17	25.	25.	25.	
105	7.27	25.	25.	25.	
106	7.37	25.	25.	25.	
107	7.47	25.	25.	25.	
108	7.57	25.	25.	25.	
109	7.67	25.	25.	25.	
110	7.77	25.	25.	25.	
111	7.87	25.	25.	25.	
112	7.935	25.	25.	25.	
113	8.	25.	25.	25.	
114	8.01	25.	25.	25.	
115	8.02	25.	25.	25.	
116	8.05	25.	25.	25.	
117	8.14	25.	25.	25.	
118	8.23	25.	25.	25.	
119	8.33	25.	25.	25.	
120	8.43	25.	25.	25.	
121	8.53	25.	25.	25.	
122	8.63	25.	25.	25.	
123	8.73	25.	25.	25.	
124	8.83	25.	25.	25.	
125	8.93	25.	25.	25.	
126	9.	25.	25.	25.	
127	9.01	25.	25.	25.	
128	9.02	25.	25.	25.	
129	9.05	25.	25.	25.	
130	9.14	25.	25.	25.	
131	9.23	25.	25.	25.	
132	9.33	25.	25.	25.	
133	9.43	25.	25.	25.	
134	9.53	25.	25.	25.	
135	9.63	25.	25.	25.	
136	9.73	25.	25.	25.	
137	9.83	25.	25.	25.	
138	9.93	25.	25.	25.	
139	10.	25.	25.	25.	
140	10.01	25.	25.	25.	
141	10.02	25.	25.	25.	
142	10.05	25.	25.	25.	
143	10.08	25.	25.	25.	
144	10.17	25.	25.	25.	
145	10.27	25.	25.	25.	
146	10.37	25.	25.	25.	
147	10.47	25.	25.	25.	
148	10.57	25.	25.	25.	
149	10.67	25.	25.	25.	
150	10.77	25.	25.	25.	
151	10.87	25.	25.	25.	
152	10.935	25.	25.	25.	
153	11.	25.	25.	25.	
154	11.005	25.	25.	25.	
155	11.01	25.	25.	25.	
156	11.025	25.	25.	25.	
157	11.07	25.	25.	25.	
158	11.17	25.	25.	25.	
159	11.27	25.	25.	25.	
160	11.37	25.	25.	25.	
161	11.42	25.	25.	25.	
162	11.47	25.	25.	25.	
163	11.57	25.	25.	25.	
164	11.67	25.	25.	25.	
165	11.77	25.	25.	25.	
166	11.87	25.	25.	25.	
167	11.935	25.	25.	25.	
168	12.	25.	25.	25.	
169	12.01	25.	25.	25.	
170	12.02	25.	25.	25.	
171	12.05	25.	25.	25.	
172	12.14	25.	25.	25.	
173	12.24	25.	25.	25.	
174	12.34	25.	25.	25.	
175	12.44	25.	25.	25.	
176	12.54	25.	25.	25.	
177	12.64	25.	25.	25.	
178	12.74	25.	25.	25.	
179	12.84	25.	25.	25.	
180	12.94	25.	25.	25.	
181	13.	25.	25.	25.	
182	13.01	25.	25.	25.	
183	13.02	25.	25.	25.	
184	13.03	25.	25.	25.	
185	13.04	25.	25.	25.	
186	13.07	25.	25.	25.	
187	13.1	25.	25.	25.	
188	13.19	25.	25.	25.	
189	13.28	25.	25.	25.	
190	13.38	25.	25.	25.	
191	13.48	25.	25.	25.	
192	13.58	25.	25.	25.	
193	13.68	25.	25.	25.	
194	13.78	25.	25.	25.	
195	13.88	25.	25.	25.	
196	13.94	25.	25.	25.	
197	14.	25.	25.	25.	
198	14.01	25.	25.	25.	
199	14.02	25.	25.	25.	
200	14.05	25.	25.	25.	
201	14.14	25.	25.	25.	
202	14.24	25.	25.	25.	
203	14.34	25.	25.	25.	
204	14.44	25.	25.	25.	
205	14.54	25.	25.	25.	
206	14.64	25.	25.	25.	
207	14.74	25.	25.	25.	
208	14.84	25.	25.	25.	
209	14.94	25.	25.	25.	
210	15.	25.	25.	25.	
211	15.01	25.	25.	25.	
212	15.02	25.	25.	25.	
213	15.05	25.	25.	25.	
214	15.14	25.	25.	25.	
215	15.24	25.	25.	25.	
216	15.34	25.	25.	25.	
217	15.44	25.	25.	25.	
218	15.54	25.	25.	25.	
219	15.64	25.	25.	25.	
220	15.74	25.	25.	25.	
221	15.84	25.	25.	25.	
222	15.94	25.	25.	25.	
223	16.	25.	25.	25.	
224	16.01	25.	25.	25.	
225	16.02	25.	25.	25.	
226	16.05	25.	25.	25.	
227	16.08	25.	25.	25.	
228	16.17	25.	25.	25.	
229	16.26	25.	25.	25.	
230	16.36	25.	25.	25.	
231	16.46	25.	25.	25.	
232	16.56	25.	25.	25.	
233	16.66	25.	25.	25.	
234	16.76	25.	25.	25.	
235	16.86	25.	25.	25.	
236	16.96	25.	25.	25.	
237	17.	25.	25.	25.	
238	17.01	25.	25.	25.	
239	17.02	25.	25.	25.	
240	17.05	25.	25.	25.	
241	17.14	25.	25.	25.	
242	17.24	25.	25.	25.	
243	17.34	25.	25.	25.	
244	17.44	25.	25.	25.	
245	17.54	25.	25.	25.	
246	17.64	25.	25.	25.	
247	17.74	25.	25.	25.	
248	17.84	25.	25.	25.	
249	17.94	25.	25.	25.	
250	18.	25.	25.	25.	
251	18.01	25.	25.	25.	
252	18.02	25.	25.	25.	
253	18.05	25.	25.	25.	
254	18.14	25.	25.	25.	
255	18.24	25.	25.	25.	
256	18.34	25.	25.	25.	
257	18.44	25.	25.	25.	
258	18.54	25.	25.	25.	
259	18.64	25.	25.	25.	
260	18.74	25.	25.	25.	
261	18.84	25.	25.	25.	
262	18.94	25.	25.	25.	
263	19.	25.	25.	25.	
264	19.01	25.	25.	25.	
265	19.02	25.	25.	25.	
266	19.05	25.	25.	25.	
267	19.14	25.	25.	25.	
268	19.24	25.	25.	25.	
269	19.34	25.	25.	25.	
270	19.44	25.	25.	25.	
271	19.54	25.	25.	25.	
272	19.64	25.	25.	25.	
273	19.74	25.	25.	25.	
274	19.84	25.	25.	25.	
275	19.94	25.	25.	25.	
276	20.	25.	25.	25.	
277	20.01	25.	25.	25.	
278	20.02	25.	25.	25.	
279	20.05	25.	25.	25.	
280	20.14	25.	25.	25.	
281	20.24	25.	25.	25.	
282	20.34	25.	25.	25.	
283	20.44	25.	25.	25.	
284	20.54	25.	25.	25.	
285	20.64	25.	25.	25.	
286	20.74	25.	25.	25.	
287	20.84	25.	25.	25.	
288	20.94	25.	25.	25.	
289	21.	25.	25.	25.	
290	21.01	25.	25.	25.	
291	21.02	25.	25.	25.	
292	21.05	25.	25.	25.	
293	21.14	25.	25.	25.	
294	21.24	25.	25.	25.	
295	21.34	25.	25.	25.	
296	21.44	25.	25.	25.	
297	21.54	25.	25.	25.	
298	21.64	25.	25.	25.	
299	21.74	25.	25.	25.	
300	21.84	25.	25.	25.	
301	21.94	25.	25.	25.	
302	22.	25.	25.	25.	
303	22.01	25.	25.	25.	
304	22.02	25.	25.	25.	
305	22.05	25.	25.	25.	
306	22.14	25.	25.	25.	
307	22.24	25.	25.	25.	
308	22.34	25.	25.	25.	
309	22.44	25.	25.	25.	
310	22.54	25.	25.	25.	
311	22.64	25.	25.	25.	
312	22.74	25.	25.	25.	
313	22.84	25.	25.	25.	
314	22.94	25.	25.	25.	
315	23.	25.	25.	25.	
316	23.01	25.	25.	25.	
317	23.02	25.	25.	25.	
318	23.05	25.	25.	25.	
319	23.14	25.	25.	25.	
320	23.24	25.	25.	25.	
321	23.34	25.	25.	25.	
322	23.44	25.	25.	25.	
323	23.54	25.	25.	25.	
324	23.64	25.	25.	25.	
325	23.74	25.	25.	25.	
326	23.84	25.	25.	25.	
327	23.94	25.	25.	25.	
328	24.	25.	25.	25.	
329	24.01	25.	25.	25.	
330	24.02	25.	25.	25.	
331	24.05	25.	25.	25.	
332	24.14	25.	25.	25.	
333	24.24	25.	25.	25.	
334	24.34	25.	25.	25.	
335	24.44	25.	25.	25.	
336	24.54	25.	25.	25.	
337	24.64	25.	25.	25.	
338	24.74	25.	25.	25.	
339	24.84	25.	25.	25.	
340	24.94	25.	25.	25.	
341	25.	25.	25.	25.	
342	25.01	25.	25.	25.	
343	25.02	25.	25.	25.	
344	25.05	25.	25.	25.	
345	25.14	25.	25.	25.	
346	25.24	25.	25.	25.	
347	25.34	25.	25.	25.	
348	25.44	25.	25.	25.	
349	25.54	25.	25.	25.	
350	25.64	25.	25.	25.	
351	25.74	25.	25.	25.	
352	25.84	25.	25.	25.	
353	25.94	25.	25.	25.	
354	26.	25.	25.	25.	
355	26.01	25.	25.	25.	
356	26.02	25.	25.	25.	
357	26.05	25.	25.	25.	
358	26.14	25.	25.	25.	
359	26.24	25.	25.	25.	
360	26.34	25.	25.	25.	
361	26.44	25.	25.	25.	
362	26.54	25.	25.	25.	
363	26.64	25.	25.	25.	
364	26.74	25.	25.	25.	
365	26.84	25.	25.	25.	
366	26.94	25.	25.	25.	
367	27.	25.	25.	25.	
368	27.01	25.	25.	25.	
369	27.02	25.	25.	25.	
370	27.05	25.	25.	25.	
371	27.14	25.	25.	25.	
372	27.24	25.	25.	25.	
373	27.34	25.	25.	25.	
374	27.44	25.	25.	25.	
375	27.54	25.	25.	25.	
376	27.64	25.	25.	25.	
377	27.74	25.	25.	25.	
378	27.84	25.	25.	25.	
379	27.94	25.	25.	25.	
380	28.	25.	25.	25.	
381	28.01	25.	25.	25.	
382	28.02	25.	25.	25.	
383	28.05	25.	25.	25.	
384	28.14	25.	25.	25.	
385	28.24	25.	25.	25.	
386	28.34	25.	25.	25.	
387	28.44	25.	25.	25.	
388	28.54	25.	25.	25.	
389	28.64	25.	25.	25.	
390	28.74	25.	25.	25.	
391	28.84	25.	25.	25.	
392	28.94	25.	25.	25.	
393	29.	25.	25.	25.	
394	29.01	25.	25.	25.	
395	29.02	25.	25.	25.	
396	29.05	25.	25.	25.	
397	29.14	25.	25.	25.	
398	29.24	25.	25.	25.	
399	29.34	25.	25.	25.	
400	29.44	25.	25.	25.	
401	29.54	25.	25.	25.	
402	29.64	25.	25.	25.	
403	29.74	25.	25.	25.	
404	29.84	25.	25.	25.	
405	29.94	25.	25.	25.	
406	30.	25.	25.	25.	
407	30.01	25.	25.	25.	
408	30.02	25.	25.	25.	
409	30.05	25.	25.	25.	
410	30.14	25.	25.	25.	
411	30.24	25.	25.	25.	
412	30.34	25.	25.	25.	
413	30.44	25.	25.	25.	
414	30.54	25.	25.	25.	
415	30.64	25.	25.	25.	
416	30.74	25.	25.	25.	
417	30.84	25.	25.	25.	
418	30.94	25.	25.	25.	
419	31.	25.	25.	25.	
420	31.01	25.	25.	25.	
421	31.02	25.	25.	25.	
422	31.05	25.	25.	25.	
423	31.14	25.	25.	25.	
424	31.24	25.	25.	25.	
425	31.34	25.	25.	25.	
426	31.44	25.	25.	25.	
427	31.54	25.	25.	25.	
428	31.64	25.	25.	25.	
429	31.74	25.	25.	25.	
430	31.84	25.	25.	25.	
431	31.94	25.	25.	25.	
432	32.	25.	25.	25.	
433	32.01	25.	25.	25.	
434	32.02	25.	25.	25.	
435	32.05	25.	25.	25.	
436	32.14	25.	25.	25.	
437	32.24	25.	25.	25.	
438	32.34	25.	25.	25.	
439	32.44	25.	25.	25.	
440	32.54	25.	25.	25.	
441	32.64	25.	25.	25.	
442	32.74	25.	25.	25.	
443	32.84	25.	25.	25.	
444	32.94	25.	25.	25.	
445	33.	25.	25.	25.	
446	33.01	25.	25.	25.	
447	33.02	25.	25.	25.	
448	33.05	25.	25.	25.	
449	33.14	25.	25.	25.	
450	33.24	25.	25.	25.	
451	33.34	25.	25.	25.	
452	33.44	25.	25.	25.	
453	33.54	25.	25.	25.	
454	33.64	25.	25.	25.	
455	33.74	25.	25.	25.	
456	33.84	25.	25.	25.	
457	33.94	25.	25.	25.	
458	34.	25.	25.	25.	
459	34.01	25.	25.	25.	
460	34.02	25.	25.	25.	
461	34.05	25.	25.	25.	
462	34.14	25.	25.	25.	
463	34.24	25.	25.	25.	
464	34.34	25.	25.	25.	
465	34.44	25.	25.	25.	
466	34.54	25.	25.	25.	
467	34.64	25.	25.	25.	
468	34.74	25.	25.	25.	
469	34.84	25.	25.	25.	
470	34.94	25.	25.	25.	
471	35.	25.	25.	25.	
472	35.01	25.	25.	25.	
473	35.02	25.	25.	25.	
474	35.05	25.	25.	25.	
475	35.14	25.	25.	25.	
476	35.24	25.	25.	25.	
477	35.34	25.	25.	25.	
478	35.44	25.	25.	25.	
479	35.54	25.	25.	25.	
480	35.64	25.	25.	25.	
481	35.74	25.	25.	25.	
482	35.84	25.	25.	25.	
483	35.94	25.	25.	25.	
484	36.	25.	25.	25.	
485	36.01	25.	25.	25.	
486	36.02	25.	25.	25.	
487	36.05	25.	25.	25.	
488	36.14	25.	25.	25.	
489	36.24	25.	25.	25.	
490	36.34	25.	25.	25.	
491	36.44	25.	25.	25.	
492	36.54	25.	25.	25.	
493	36.64	25.	25.	25.	
494	36.74	25.	25.	25.	
495	36.84	25.	25.	25.	
496	36.94	25.	25.	25.	
497	37.	25.	25.	25.	
498	37.01	25.	25.	25.	
499	37.02	25.	25.	25.	
500	37.05	25.	25.	25.	
501	37.14	25.	25.	25.	
502	37.24	25.	25.	25.	
503	37.34	25.	25.	25.	
504	37.44	25.	25.	25.	
505	37.54	25.	25.	25.	
506	37.64	25.	25.	25.	
507	37.74	25.	25.	25.	
508	37.84	25.	25.	25.	
509	37.94	25.	25.	25.	
510	38.	25.	25.	25.	
511	38.01	25.	25.	25.	
512	38.02	25.	25.	25.	
513	38.05	25.	25.	25.	
514	38.14	25.	25.	25.	
515	38.24	25.	25.	25.	
516	38.34	25.	25.	25.	
517	38.44	25.	25.	25.	
518	38.54	25.	25.	25.	
519	38.64	25.	25.	25.	
520	38.74	25.	25.	25.	
521	38.84	25.	25.	25.	
522	38.94	25.	25.	25.	
523	39.	25.	25.	25.	
524	39.01	25.	25.	25.	
525	39.02	25.	25.	25.	
526	39.05	25.	25.	25.	
527	39.14	25.	25.	25.	
528	39.24	25.	25.	25.	
529	39.34	25.	25.	25.	
530	39.44	25.	25.	25.	
531	39.54	25.	25.	25.	
532	39.64	25.	25.	25.	
533	39.74	25.	25.	25.	
534	39.84	25.	25.	25.	
535	39.94	25.	25.	25.	
536	40.	25.	25.	25.	
537	40.01	25.	25.	25.	
538	40.02	25.	25.	25.	
539	40.05	25.	25.	25.	
540	40.14	25.	25.	25.	
541	40.24	25.	25.	25.	
542	40.34	25.	25.	25.	
543	40.44	25.	25.	25.	
544	40.54	25.	25.	25.	
545	40.64	25.	25.	25.	
546	40.74	25.	25.	25.	
547	40.84	25.	25.	25.	
548	40.94	25.	25.	25.	
549	41.	25.	25.	25.	
550	41.01	25.	25.	25.	
551	41.02	25.	25.	25.	
552	41.05	25.	25.	25.	
553	41.14	25.	25.	25.	
554	41.24	25.	25.	25.	
555	41.34	25.	25.	25.	
556	41.44	25.	25.	25.	
557	41.54	25.	25.	25.	
558	41.64	25.	25.	25.	
559	41.74	25.	25.	25.	
560	41.84	25.	25.	25.	
561	41.94	25.	25.	25.	
562	42.	25.	25.	25.	
563	42.01	25.	25.	25.	
564	42.02	25.	25.	25.	
565	42.05	25.	25.	25.	
566	42.14	25.	25.	25.	
567	42.24	25.	25.	25.	
568	42.34	25.	25.	25.	
569	42.44	25.	25.	25.	
570	42.54	25.	25.	25.	
571	42.64	25.	25.	25.	
572	42.74	25.	25.	25.	
573	42.84	25.	25.	25.	
574	42.94	25.	25.	25.	
575	43.	25.	25.	25.	
576	43.01	25.	25.	25.	
577	43.02	25.	25.	25.	
578	43.05	25.	25.	25.	
579	43.14	25.	25.	25.	
580	43.24	25.	25.	25.	
581	43.34	25.	25.	25.	
582	43.44	25.	25.	25.	
583	43.54	25.	25.	25.	
584	43.64	25.	25.	25.	
585	43.74	25.	25.	25.	
586	43.84	25.	25.	25.	
587	43.94	25.	25.	25.	
588	44.	25.	25.	25.	
589	44.01	25.	25.	25.	
590	44.02	25.	25.	25.	
591	44.05	25.	25.	25.	
592	44.14	25.	25.	25.	
593	44.24	25.	25.	25.	
594	44.34	25.	25.	25.	
595	44.44	25.	25.	25.	
596	44.54	25.	25.	25.	
597	44.64	25.	25.	25.	
598	44.74	25.	25.	25.	
599	44.84	25.	25.	25.	
600	44.94	25.	25.	25.	
601	45.	25.	25.	25.	
602	45.01	25.	25.	25.	
603	45.02	25.	25.	25.	
604	45.05	25.	25.	25.	
605	45.14	25.	25.	25.	
606	45.24	25.	25.	25.	
607	45.34	25.	25.	25.	
608	45.44	25.	25.	25.	
609	45.54	25.	25.	25.	
610	45.64	25.	25.	25.	
611	45.74	25.	25.	25.	
612	45.84	25.	25.	25.	
613	45.94	25.	25.	25.	
614	46.	25.	25.	25.	
615	46.01	25.	25.	25.	
616	46.02	25.	25.	25.	
617	46.05	25.	25.	25.	
618	46.14	25.	25.	25.	
619	46.24	25.	25.	25.	
620	46.34	25.	25.	25.	
621	46.44	25.	25.	25.	
622	46.54	25.	25.	25.	
623	46.64	25.	25.	25.	
624	46.74	25.	25.	25.	
625	46.84	25.	25.	25.	
626	46.94	25.	25.	25.	
627	47.	25.	25.	25.	
628	47.01	25.	25.	25.	
629	47.02	25.	25.	25.	
630	47.05	25.	25.	25.	
631	47.14	25.	25.	25.	
632	47.24	25.	25.	25.	
633	47.34	25.	25.	25.	
634	47.44	25.	25.	25.	
635	47.54	25.	25.	25.	
636	47.64	25.	25.	25.	
637	47.74	25.	25.	25.	
638	47.84	25.	25.	25.	
639	47.94	25.	25.	25.	
640	48.	25.	25.	25.	
641	48.01	25.	25.	25.	
642	48.02	25.	25.	25.	
643	48.05	25.	25.	25.	
644	48.14	25.	25.	25.	
645	48.24	25.	25.	25.	
646	48.34	25.	25.	25.	
647	48.44	25.	25.	25.	
648	48.54	25.	25.	25.	
649	48.64	25.	25.	25.	
650	48.74	25.	25.	25.	
651	48.84	25.	25.	25.	
652	48.94	25.	25.	25.	
653	49.	25.	25.	25.	
654	49.01	25.	25.	25.	
655	49.02	25.	25.	25.	
656	49.05	25.	25.	25.	
657	49.14	25.	25.	25.	
658	49.24	25.	25.	25.	
659	49.34	25.	25.	25.	
660	49.44	25.	25.	25.	
661	49.54	25.	25.	25.	
662	49.64	25.	25.	25.	
